ECI2002     
# 1485 patches, random layout
ORIGINATOR      "System Brunner AG, www.systembrunner.ch, Copyright 2004 System Brunner AG"
DESCRIPTOR      "EUROSB104S"
CREATED	"7/5/2004"  # Time: 19:20
INSTRUMENTATION "GretagMacbeth SpectroScanT, Illumination=D50, ObserverAngle=2 degree, Geometry 45/0, WhiteBase=Absolute, Filter=No, White backing"
PRINT_CONDITIONS        "Offset printing, according to Eurostandard System Brunner specification, within ISO 12647-2:2004 tolerances, paper type coated/semi-matte, 115 g/m2, TVI 15%, screen ruling 60 L/cm, for further information see documentation"
KEYWORD	"SampleID"
KEYWORD	"SAMPLE_NAME"
NUMBER_OF_FIELDS	8
BEGIN_DATA_FORMAT
SampleID	SAMPLE_NAME	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	1485						
BEGIN_DATA							
775	H30	34.57	30.17	28.17	61.80	19.86	-5.66
1272	H31	2.00	2.23	1.79	16.67	-3.43	0.57
1273	H32	1.94	1.94	1.54	15.19	1.60	0.67
774	H33	41.52	40.47	35.99	69.80	7.73	-3.76
95	I1	47.97	41.25	38.06	70.35	24.00	-5.66
147	I2	16.65	21.64	39.08	53.64	-21.75	-35.84
131	I3	24.39	24.33	34.25	56.42	4.06	-24.35
111	I4	44.43	45.33	46.84	73.11	2.11	-11.98
78	I5	9.30	10.20	28.88	38.20	-4.29	-47.51
800	I6	5.77	5.79	15.30	28.87	2.19	-36.69
900	I7	12.53	16.83	8.54	48.04	-22.78	16.49
788	I8	17.40	13.06	16.95	42.85	28.87	-16.55
888	I9	30.84	31.82	10.13	63.19	0.60	37.13
770	I10	30.24	20.69	18.61	52.61	43.98	-3.47
96	I11	41.69	32.11	30.72	63.43	35.72	-6.95
148	I12	14.88	18.51	35.05	50.11	-16.76	-36.37
132	I13	20.72	18.45	27.62	50.04	14.85	-25.01
112	I14	40.29	39.09	41.51	68.82	8.19	-12.84
240	I15	7.83	9.41	21.19	36.76	-10.88	-36.17
319	I16	9.41	14.19	24.02	44.51	-30.61	-28.23
591	I17	31.26	25.32	5.82	57.39	27.16	43.89
1396	I18	4.86	5.00	4.55	26.74	0.48	-2.46
627	I19	11.73	12.73	5.58	42.35	-3.73	19.12
174	I20	56.93	55.43	42.51	79.29	8.74	3.95
168	I21	47.20	35.61	27.14	66.22	39.67	3.69
220	I22	19.02	22.12	31.03	54.15	-11.33	-23.43
204	I23	26.53	22.44	24.61	54.49	21.39	-12.10
184	I24	46.08	43.72	37.11	72.04	11.43	-1.46
402	I25	6.83	8.98	15.04	35.95	-17.06	-23.85
1275	I26	1.45	1.78	1.73	14.28	-7.12	-2.95
1270	I27	2.26	2.14	1.51	16.21	4.19	2.85
1269	I28	2.39	2.50	1.75	17.92	-0.42	3.11
1276	I29	1.48	1.60	1.50	13.20	-1.67	-2.24
229	I30	14.12	18.15	30.15	49.68	-19.55	-29.76
600	I31	26.72	22.55	5.84	54.61	21.61	38.99
193	I32	39.62	38.87	36.03	68.66	6.81	-5.78
636	I33	8.08	10.28	5.66	38.34	-15.45	11.82
944	J1	3.50	4.75	3.05	26.00	-15.55	5.77
756	J2	17.27	20.14	34.14	52.00	-11.25	-31.80
932	J3	14.55	11.68	3.02	40.70	21.81	31.38
744	J4	37.44	36.99	39.94	67.27	5.84	-13.48
914	J5	26.57	18.50	2.96	50.10	40.45	47.97
83	J6	73.98	73.45	58.22	88.66	6.62	2.38
143	J7	11.65	8.33	17.37	34.66	28.82	-31.65
119	J8	41.68	46.11	50.67	73.62	-8.24	-15.49
107	J9	28.02	16.92	18.47	48.16	54.62	-10.83
155	J10	13.42	20.30	41.71	52.18	-34.77	-41.78
805	J11	38.78	33.32	25.19	64.42	22.44	3.97
853	J12	28.18	25.82	16.90	57.87	13.42	9.45
823	J13	22.32	21.46	22.50	53.45	7.64	-9.96
865	J14	11.73	13.45	14.26	43.43	-8.38	-8.95
835	J15	6.91	9.27	18.65	36.50	-18.62	-31.32
172	J16	68.26	73.42	53.23	88.65	-5.45	7.60
232	J17	9.38	8.89	18.20	35.78	6.73	-31.57
208	J18	33.29	41.98	45.27	70.86	-23.63	-13.98
196	J19	27.26	19.73	20.34	51.53	37.08	-8.99
317	J20	11.34	18.92	29.61	50.59	-42.04	-27.33
404	J21	5.18	5.09	10.69	27.00	3.27	-27.08
182	J22	55.04	57.80	46.65	80.63	-1.74	1.21
620	J23	12.74	9.35	4.24	36.65	27.71	16.41
218	J24	22.78	29.37	38.41	61.11	-23.29	-22.07
584	J25	29.54	18.19	4.36	49.73	53.75	38.28
173	J26	62.31	63.93	48.01	83.93	1.54	5.31
215	J27	15.03	10.28	15.40	38.34	34.86	-20.61
209	J28	30.23	36.20	40.88	66.67	-16.66	-15.74
179	J29	31.87	19.13	16.44	50.84	57.62	-1.58
803	J30	50.47	50.48	35.61	76.36	4.85	8.09
1274	J31	1.86	1.64	1.22	13.50	7.02	1.80
821	J32	28.70	32.14	31.01	63.46	-8.64	-7.35
776	J33	26.57	18.70	18.47	50.34	39.44	-7.07
1120	K1	2.46	2.09	4.17	15.97	9.43	-18.82
1161	K2	5.95	8.49	4.42	34.99	-22.16	12.53
1110	K3	5.75	3.68	4.25	22.57	29.09	-7.93
1151	K4	12.82	14.56	5.08	45.02	-7.85	26.23
1100	K5	8.90	5.16	4.22	27.19	39.78	0.22
721	K6	8.12	18.20	6.11	49.74	-64.23	29.37
63	K7	10.80	6.67	16.43	31.05	38.22	-35.68
685	K8	34.67	43.13	6.34	71.64	-22.22	66.05
27	K9	25.83	13.69	16.54	43.78	64.63	-13.98
649	K10	66.76	70.52	6.78	87.25	-2.71	91.07
397	K11	11.40	21.11	26.50	53.07	-52.28	-17.89
387	K12	9.53	6.38	9.32	30.35	31.41	-16.78
361	K13	40.38	48.74	32.70	75.29	-19.40	10.47
351	K14	24.59	13.47	9.44	43.46	60.80	5.40
325	K15	74.85	78.84	37.59	91.16	-2.36	30.86
73	K16	15.99	24.11	54.40	56.20	-36.51	-49.60
711	K17	8.37	6.04	3.19	29.51	25.24	10.80
37	K18	47.68	54.55	66.39	78.78	-13.14	-22.62
675	K19	23.38	13.21	3.03	43.08	57.12	35.38
1367	K20	83.51	86.13	75.57	94.37	0.88	-3.95
1170	K21	2.07	2.05	2.29	15.74	2.06	-5.83
1111	K22	7.23	9.47	11.45	36.87	-17.01	-12.40
1160	K23	5.36	3.69	2.28	22.63	24.31	6.15
1101	K24	15.20	16.71	13.61	47.89	-5.30	0.47
1150	K25	8.67	5.32	2.34	27.62	36.01	14.25
1268	K26	1.59	1.39	1.34	11.91	6.92	-2.51
929	K27	22.47	26.60	4.58	58.60	-13.88	52.33
1262	K28	2.23	1.76	1.26	14.18	12.44	2.47
916	K29	39.59	43.67	5.20	72.01	-7.72	72.15
54	K30	14.25	8.36	16.74	34.72	45.73	-30.07
614	K31	23.25	30.33	8.46	61.94	-24.74	40.76
18	K32	29.86	15.67	17.06	46.54	68.71	-10.44
578	K33	53.34	55.92	9.63	79.57	-1.48	67.04
3	L1	68.75	64.32	59.38	84.13	15.10	-6.61
673	L2	27.87	20.06	3.69	51.91	37.86	46.11
39	L3	39.10	40.61	52.37	69.90	-0.17	-23.79
709	L4	10.03	9.61	3.68	37.13	6.15	20.64
75	L5	13.05	17.93	43.71	49.41	-25.24	-49.07
1149	L6	10.22	7.54	2.88	33.00	25.44	19.09
1102	L7	13.13	13.26	11.29	43.15	2.30	-1.08
1159	L8	6.31	5.29	2.80	27.55	13.73	10.35
1112	L9	6.56	7.86	9.87	33.70	-10.10	-12.87
1169	L10	2.27	2.72	2.71	18.87	-6.97	-3.94
327	L11	62.47	59.78	30.41	81.72	11.45	25.07
349	L12	30.34	21.70	14.96	53.71	39.61	6.98
363	L13	33.89	36.92	26.63	67.22	-5.86	6.28
385	L14	11.60	10.34	13.28	38.44	12.20	-14.93
399	L15	9.17	15.45	21.49	46.24	-40.07	-20.42
1099	L16	10.89	7.88	6.41	33.73	27.30	0.39
1152	L17	11.03	11.50	4.28	40.41	-0.39	22.65
1109	L18	6.93	5.49	5.99	28.08	17.88	-7.46
1162	L19	5.20	6.80	3.90	31.34	-15.12	9.31
1119	L20	2.81	2.90	5.62	19.62	0.27	-20.28
651	L21	56.57	54.25	5.76	78.61	10.77	80.74
25	L22	33.04	23.07	27.59	55.14	43.25	-16.17
687	L23	28.85	32.39	5.41	63.66	-8.95	56.70
61	L24	13.84	11.50	24.99	40.41	18.67	-37.07
723	L25	6.46	13.39	5.36	43.35	-52.70	21.93
170	L26	36.94	21.59	16.58	53.59	63.18	2.82
598	L27	32.90	33.33	7.67	64.43	2.71	48.08
206	L28	20.10	13.08	16.02	42.88	42.69	-14.30
634	L29	9.55	14.84	6.96	45.42	-33.43	18.17
739	L30	35.62	30.92	32.50	62.44	20.68	-11.38
923	L31	31.60	34.33	4.71	65.22	-5.35	63.03
1264	L32	1.94	1.84	1.78	14.64	3.88	-2.81
941	L33	5.62	11.73	4.70	40.78	-50.90	20.95
725	M1	5.44	9.95	4.72	37.76	-39.97	15.63
59	M2	18.95	19.85	37.62	51.67	-0.96	-37.27
689	M3	24.91	24.79	4.66	56.87	4.37	48.91
23	M4	44.12	38.83	43.87	68.63	20.52	-16.13
653	M5	47.85	40.81	4.74	70.04	24.99	71.18
401	M6	7.79	11.68	18.04	40.71	-28.29	-22.71
