ISO28178
ORIGINATOR	"X-Rite, Inc."
FILE_DESCRIPTOR	"Japan Color 2011 for Sheet-fed Offset based on ISO 12647-2"
CREATED	"2011/03/05"
INSTRUMENTATION	"i1iO"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"
NUMBER_OF_FIELDS	9
BEGIN_DATA_FORMAT							
SAMPLE_NO	SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT							
NUMBER_OF_SETS	1617							
BEGIN_DATA								
425	588	20	20	85	0	73.931174	-2.571572	56.201980
426	1474	40	0	3	40	58.772652	-10.317986	-13.468143
427	643	100	30	85	0	41.133044	-51.178220	4.212331
428	1106	40	0	20	60	47.196028	-10.068085	-3.506414
429	823	40	40	20	20	54.670290	6.034048	-9.308026
430	807	0	100	20	20	40.742486	65.644595	3.409692
431	870	100	20	40	20	40.647227	-37.603889	-23.736749
432	339	10	55	40	0	64.044827	28.919590	13.686104
433	1518	10	10	20	10	79.101168	0.259844	6.859358
434	828	70	20	20	20	51.436132	-16.055429	-20.525249
435	1564	40	0	40	10	71.467710	-18.257516	9.242837
436	341	10	85	40	0	51.119513	52.917107	9.926129
437	869	100	10	40	20	42.722902	-41.813344	-23.023487
438	1513	10	0	20	10	83.286749	-5.612031	8.775170
439	315	85	100	30	0	25.130153	25.410170	-29.497185
440	1246	0	70	100	80	26.904570	17.862870	25.470398
441	1066	100	0	100	40	36.483618	-52.856399	16.388474
442	75	100	20	0	0	47.869168	-27.234071	-51.446548
443	1041	100	0	70	40	37.482893	-47.230098	-2.151414
444	279	30	100	30	0	38.929970	59.199787	-4.448034
445	622	70	0	85	0	61.184335	-40.210270	31.535832
446	259	10	70	30	0	57.842600	41.050962	5.569163
447	1568	40	10	20	10	68.688370	-10.124966	-6.661260
448	1442	40	40	3	0	62.857880	9.061252	-20.593992
449	159	100	55	10	0	37.348942	-13.878796	-44.266018
450	1498	0	20	20	10	78.709408	9.703736	9.917407
