ISO28178										
ORIGINATOR	"WAN-IFRA. www.wan-ifra.org"									
DESCRIPTOR	"Ifra26L"									
CREATED	"30.06.2004"									
INSTRUMENTATION	"GRETAGMACBETH SpectroScan. D50. 2 degree. geometry 45/0. no polarisation filter. white backing"
PRINT_CONDITIONS	"Newspaper Coldset-Offset printing according to ISO/DIS 12647-3:2004. standard newsprint. screen ruling 40 l/cm ± 2 l/cm"
NUMBER_OF_FIELDS	11									
BEGIN_DATA_FORMAT										
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT										
NUMBER_OF_SETS	1485									
BEGIN_DATA										
112	30	30	10	0	31.65	30.96	28.41	62.47	6.67	-4.9
113	30	40	10	0	29.5	27.5	25.76	59.43	11.79	-5.64
114	30	55	10	0	27	23.57	22.58	55.66	18.26	-6.31
115	30	70	10	0	25.19	20.81	20.22	52.74	23.35	-6.64
116	30	85	10	0	24.04	19.08	18.6	50.78	26.82	-6.58
117	30	100	10	0	23.2	17.85	17.35	49.31	29.48	-6.32
118	40	0	10	0	35.06	41.04	37.79	70.21	-14.69	-5.55
119	40	10	10	0	32.41	36.14	34.14	66.63	-8.51	-6.58
120	40	20	10	0	29.9	31.69	30.72	63.09	-2.48	-7.53
121	40	30	10	0	27.83	28.14	27.94	60.02	2.8	-8.35
122	40	40	10	0	26.02	25.11	25.42	57.18	7.68	-8.92
123	40	55	10	0	23.87	21.62	22.38	53.62	13.88	-9.43
124	40	70	10	0	22.32	19.17	20.13	50.88	18.73	-9.66
125	40	85	10	0	21.33	17.63	18.58	49.05	22.01	-9.53
126	40	100	10	0	20.61	16.55	17.4	47.68	24.47	-9.25
127	55	0	10	0	29.21	35.62	36.5	66.23	-18.63	-10.63
128	55	10	10	0	27.13	31.55	33.07	62.97	-12.75	-11.31
129	55	20	10	0	25.17	27.87	29.91	59.77	-7.06	-11.96
130	55	30	10	0	23.52	24.87	27.29	56.95	-2.03	-12.56
131	55	40	10	0	22.07	22.31	24.93	54.36	2.61	-12.91
132	55	55	10	0	20.35	19.37	22.08	51.12	8.37	-13.18
133	55	70	10	0	19.08	17.28	19.97	48.6	12.91	-13.26
134	55	85	10	0	18.27	15.97	18.54	46.93	15.91	-13.1
135	55	100	10	0	17.68	15.04	17.45	45.68	18.15	-12.81
